Job Id,Job Title,Company,location,skills,Job Description,Responsibilities,search_text
2292687627185174,Network Engineer,Deere,Willemstad,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)","Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Manage and maintain computer networks, troubleshoot network issues, and ensure network availability and performance. Implement network security measures and policies. Monitor network traffic and optimize performance.","Network Engineer Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security. Network management Troubleshooting Network security IT certifications (e.g., CCNA) Manage and maintain computer networks, troubleshoot network issues, and ensure network availability and performance. Implement network security measures and policies. Monitor network traffic and optimize performance."
1360796501250115,IT Manager,Expeditors International of Washington,Kuwait City,"Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management","An Infrastructure Manager is responsible for the operation and maintenance of an organizations IT infrastructure, including servers, networks, and data centers.","Manage IT infrastructure, including servers, networks, and data centers. Ensure high availability, security, and scalability of IT systems. Plan and implement technology upgrades.","IT Manager An Infrastructure Manager is responsible for the operation and maintenance of an organizations IT infrastructure, including servers, networks, and data centers. Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management Manage IT infrastructure, including servers, networks, and data centers. Ensure high availability, security, and scalability of IT systems. Plan and implement technology upgrades."
1003297754485307,HR Coordinator,Morrison Supermarkets,Nuuk,Training program coordination Training material development Learning management systems,"Training Coordinators design and implement employee training programs. They assess training needs, develop training materials, and facilitate training sessions to enhance employees skills and knowledge.","Coordinate employee training programs, track training records, and assist with training logistics. Identify training needs and develop training materials. Facilitate training sessions or workshops.","HR Coordinator Training Coordinators design and implement employee training programs. They assess training needs, develop training materials, and facilitate training sessions to enhance employees skills and knowledge. Training program coordination Training material development Learning management systems Coordinate employee training programs, track training records, and assist with training logistics. Identify training needs and develop training materials. Facilitate training sessions or workshops."
1914743881231235,Human Resources Manager,Merck,Valletta,Employee conflict resolution HR compliance Employee engagement Communication skills,"Employee Relations Specialists focus on maintaining positive relationships between employees and the organization. They address workplace issues, conduct investigations, mediate conflicts, and promote a healthy and productive work environment.","Address employee concerns, resolve conflicts, and implement HR policies and programs to foster a positive work environment. Conduct investigations and recommend corrective actions. Promote employee engagement and satisfaction.","Human Resources Manager Employee Relations Specialists focus on maintaining positive relationships between employees and the organization. They address workplace issues, conduct investigations, mediate conflicts, and promote a healthy and productive work environment. Employee conflict resolution HR compliance Employee engagement Communication skills Address employee concerns, resolve conflicts, and implement HR policies and programs to foster a positive work environment. Conduct investigations and recommend corrective actions. Promote employee engagement and satisfaction."
1967335940495985,Customer Support Specialist,Fiserv,Yerevan,Help desk support Ticket resolution IT troubleshooting Customer service skills Technical knowledge Documentation and knowledge base maintenance Communication and interpersonal skills,"Help Desk Analysts provide technical support and assistance to internal employees or external customers. They troubleshoot hardware and software issues, offer solutions, and document support interactions to maintain a reliable IT environment.","Respond to help desk tickets, assist users, and escalate issues as needed to ensure timely resolution. Document and track support requests and resolutions. Provide training and guidance to end-users.","Customer Support Specialist Help Desk Analysts provide technical support and assistance to internal employees or external customers. They troubleshoot hardware and software issues, offer solutions, and document support interactions to maintain a reliable IT environment. Help desk support Ticket resolution IT troubleshooting Customer service skills Technical knowledge Documentation and knowledge base maintenance Communication and interpersonal skills Respond to help desk tickets, assist users, and escalate issues as needed to ensure timely resolution. Document and track support requests and resolutions. Provide training and guidance to end-users."
1119946650450517,Content Writer,APA Group,Moroni,Content strategy Content planning SEO optimization Content marketing Analytics,"Content Strategists develop and execute content strategies that align with business objectives. They plan content creation, distribution, and promotion to engage audiences and drive brand growth.","Develop content strategies, plan editorial calendars, and ensure content aligns with marketing and branding objectives. Monitor content performance and adjust strategies. Identify content trends and opportunities.","Content Writer Content Strategists develop and execute content strategies that align with business objectives. They plan content creation, distribution, and promotion to engage audiences and drive brand growth. Content strategy Content planning SEO optimization Content marketing Analytics Develop content strategies, plan editorial calendars, and ensure content aligns with marketing and branding objectives. Monitor content performance and adjust strategies. Identify content trends and opportunities."
1851615191968004,Network Administrator,Hewlett Packard Enterprise,Sri Jayawardenepura Kotte,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures.","Network Administrator Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents. Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures."
230671511481282,Chemical Analyst,Deutsche Annington Immobilien SE (Now Vonovia SE),The City of Hamilton,Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",Ensure the quality and consistency of chemical products and processes through testing and inspection. Identify non-conformities and deviations. Maintain quality control documentation.,"Chemical Analyst In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction. Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis Ensure the quality and consistency of chemical products and processes through testing and inspection. Identify non-conformities and deviations. Maintain quality control documentation."
769868086475150,Psychologist,Exelon,Juba,Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.","Provide therapy and counseling services to individuals, couples, and families. Conduct psychological assessments and diagnoses. Develop treatment plans and provide ongoing support.","Psychologist Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being. Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills Provide therapy and counseling services to individuals, couples, and families. Conduct psychological assessments and diagnoses. Develop treatment plans and provide ongoing support."
2526045654726889,Software Engineer,Tencent Holdings,Amsterdam,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)","A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend.","Software Engineer A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently. Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django) Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend."
2953363068663263,Physician Assistant,Cigna Group,Nouakchott,Medical knowledge and clinical skills Patient care and assessment Communication and empathy,"Provide medical care under the supervision of physicians, conduct examinations, diagnose and treat patients.","Provide primary healthcare services, including diagnosing and treating common medical conditions. Conduct physical examinations and order diagnostic tests. Educate patients on health and wellness.","Physician Assistant Provide medical care under the supervision of physicians, conduct examinations, diagnose and treat patients. Medical knowledge and clinical skills Patient care and assessment Communication and empathy Provide primary healthcare services, including diagnosing and treating common medical conditions. Conduct physical examinations and order diagnostic tests. Educate patients on health and wellness."
1967819306965373,Financial Advisor,Campbell Soup,Nur-Sultan,Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance,"Investment Advisors offer financial advice to clients, helping them make investment decisions, manage portfolios, and achieve their financial goals.",Provide investment advice and portfolio management services. Assess clients financial goals and risk tolerance. Monitor market trends and recommend investment strategies.,"Financial Advisor Investment Advisors offer financial advice to clients, helping them make investment decisions, manage portfolios, and achieve their financial goals. Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance Provide investment advice and portfolio management services. Assess clients financial goals and risk tolerance. Monitor market trends and recommend investment strategies."
2589699564499919,Litigation Attorney,Autoliv,Juba,Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation.","Represent clients in civil or criminal trials, presenting cases in court. Prepare legal arguments and cross-examine witnesses. Negotiate settlements when possible.","Litigation Attorney Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation. Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing Represent clients in civil or criminal trials, presenting cases in court. Prepare legal arguments and cross-examine witnesses. Negotiate settlements when possible."
2786546639471725,Front-End Developer,Procter & Gamble,Ankara,"Web design concepts Graphic design software (e.g., Adobe Creative Suite) HTML and CSS Responsive design User interface (UI) principles Visual communication Typography Color theory Creativity Attention to detail Collaboration","A Web Designer specializes in designing visually appealing and responsive websites. They create layouts, graphics, and user interfaces to enhance the online presence of businesses.","Focus on the visual design of websites, including layout, typography, and color schemes. Create custom graphics and illustrations. Ensure responsive and mobile-friendly designs.","Front-End Developer A Web Designer specializes in designing visually appealing and responsive websites. They create layouts, graphics, and user interfaces to enhance the online presence of businesses. Web design concepts Graphic design software (e.g., Adobe Creative Suite) HTML and CSS Responsive design User interface (UI) principles Visual communication Typography Color theory Creativity Attention to detail Collaboration Focus on the visual design of websites, including layout, typography, and color schemes. Create custom graphics and illustrations. Ensure responsive and mobile-friendly designs."
659760799347783,IT Support Specialist,Industrial and Commercial Bank of China (ICBC),Berlin,Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.","Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Document and track support requests and resolutions. Provide training and guidance to end-users.","IT Support Specialist Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations. Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Document and track support requests and resolutions. Provide training and guidance to end-users."
2142758625318639,Paralegal,Weir Group,Tokyo,Legal research Discovery management Case preparation Trial support Document review Client communication E-filing Attention to detail Multitasking Legal terminology Technology proficiency Communication skills Legal software proficiency,"Assist in litigation cases, including document preparation, legal research, and trial support.",Assist attorneys in preparing for trials and hearings. Organize and manage legal documents and exhibits. Interview clients and witnesses.,"Paralegal Assist in litigation cases, including document preparation, legal research, and trial support. Legal research Discovery management Case preparation Trial support Document review Client communication E-filing Attention to detail Multitasking Legal terminology Technology proficiency Communication skills Legal software proficiency Assist attorneys in preparing for trials and hearings. Organize and manage legal documents and exhibits. Interview clients and witnesses."
1492618699113104,Legal Counsel,Clorox Company,Valletta,Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.","Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings.","Legal Counsel Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business. Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings."
569815952031396,Art Teacher,Icahn Enterprises,Chisinau,Art education curriculum Program development Teacher training Communication skills Artistic expertise,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.","Coordinate art education programs, curriculum development, and student assessments. Collaborate with other educators and schools. Organize art exhibitions and showcases.","Art Teacher An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities. Art education curriculum Program development Teacher training Communication skills Artistic expertise Coordinate art education programs, curriculum development, and student assessments. Collaborate with other educators and schools. Organize art exhibitions and showcases."
1102859527991443,UX/UI Designer,Molson Coors Beverage,Charlotte Amalie,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design","User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms.,"UX/UI Designer User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface. UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms."
1292185447519671,Social Media Coordinator,ITC Limited,San Jose,"Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity","Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.","Create compelling and shareable content for social media platforms, including text, images, and videos. Collaborate with designers and photographers for visuals. Engage with the audience and respond to comments.","Social Media Coordinator Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products. Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity Create compelling and shareable content for social media platforms, including text, images, and videos. Collaborate with designers and photographers for visuals. Engage with the audience and respond to comments."
1103238683386387,Tax Consultant,CDW,City of Port Louis,Business tax law knowledge Corporate tax planning Tax compliance for businesses Tax credits and incentives Tax strategy development Financial analysis IRS regulations Client relationship management Communication skills Tax software proficiency,"A Business Tax Consultant specializes in tax planning and compliance for businesses. They assist with tax strategy, filings, and help organizations minimize tax liabilities.","Advise businesses on tax strategies, deductions, and compliance. Prepare corporate tax returns and financial statements. Assist with tax audits and negotiations with tax authorities.","Tax Consultant A Business Tax Consultant specializes in tax planning and compliance for businesses. They assist with tax strategy, filings, and help organizations minimize tax liabilities. Business tax law knowledge Corporate tax planning Tax compliance for businesses Tax credits and incentives Tax strategy development Financial analysis IRS regulations Client relationship management Communication skills Tax software proficiency Advise businesses on tax strategies, deductions, and compliance. Prepare corporate tax returns and financial statements. Assist with tax audits and negotiations with tax authorities."
790558137765887,Electrical Designer,Ford Motor Company,Copenhagen,Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",Design electrical systems and components for buildings and infrastructure projects. Ensure compliance with electrical codes and safety standards. Collaborate with architects and contractors.,"Electrical Designer Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries. Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving Design electrical systems and components for buildings and infrastructure projects. Ensure compliance with electrical codes and safety standards. Collaborate with architects and contractors."
863767548625315,UX Researcher,KeyCorp,Canberra,User research methods Usability testing Data analysis and interpretation,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.","Conduct user research to understand user behavior, needs, and preferences. Plan and execute user interviews, surveys, and usability studies. Analyze research findings and generate insights.","UX Researcher Conduct user research to understand customer needs, preferences, and behaviors to inform product development. User research methods Usability testing Data analysis and interpretation Conduct user research to understand user behavior, needs, and preferences. Plan and execute user interviews, surveys, and usability studies. Analyze research findings and generate insights."
1585599127009635,Systems Administrator,Reinsurance Group of America,San Jose,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.","Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Install and configure computer systems and software. Maintain IT documentation and knowledge base.","Systems Administrator IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure. Technical troubleshooting Hardware and software support Customer service Problem-solving Communication Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Install and configure computer systems and software. Maintain IT documentation and knowledge base."
1444704013028066,Systems Administrator,American Family Insurance Group,Brussels,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.","Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Install and configure computer systems and software. Maintain IT documentation and knowledge base.","Systems Administrator IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure. Technical troubleshooting Hardware and software support Customer service Problem-solving Communication Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Install and configure computer systems and software. Maintain IT documentation and knowledge base."
854978294247383,Customer Service Manager,Western Union Company,Baku,Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.",Ensure service quality and consistency by defining and implementing QA standards and processes. Conduct regular quality audits and provide feedback to the team. Identify areas for improvement and training.,"Customer Service Manager Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery. Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis Ensure service quality and consistency by defining and implementing QA standards and processes. Conduct regular quality audits and provide feedback to the team. Identify areas for improvement and training."
554395496544077,Network Administrator,State Street,Chisinau,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures.","Network Administrator Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents. Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures."
443261297913235,UI Developer,Deutsche Bank AG,Bandar Seri Begawan,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,"Design user interfaces and experiences, focusing on usability and user-centered design principles. Create wireframes and prototypes. Conduct user testing and gather feedback for design improvements.","UI Developer A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs. User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma Design user interfaces and experiences, focusing on usability and user-centered design principles. Create wireframes and prototypes. Conduct user testing and gather feedback for design improvements."
2607053333176495,Legal Counsel,KLA,Skopje,Employment law and regulations Employment contracts and agreements Workplace discrimination and harassment laws Legal compliance Client representation and advocacy,"Employment Lawyers focus on employment law matters, assisting employers and employees with issues like workplace discrimination, labor disputes, and employment contracts. They offer legal counsel and represent clients in legal proceedings.","Advise on employment law matters, including labor relations, HR policies, and employee disputes. Conduct investigations and negotiations. Ensure legal compliance in hiring and terminations.","Legal Counsel Employment Lawyers focus on employment law matters, assisting employers and employees with issues like workplace discrimination, labor disputes, and employment contracts. They offer legal counsel and represent clients in legal proceedings. Employment law and regulations Employment contracts and agreements Workplace discrimination and harassment laws Legal compliance Client representation and advocacy Advise on employment law matters, including labor relations, HR policies, and employee disputes. Conduct investigations and negotiations. Ensure legal compliance in hiring and terminations."
1735061994124564,Sales Associate,Energy Transfer,Berlin,Customer service Sales techniques Product knowledge Cash handling Communication skills,"A Retail Sales Associate assists customers in retail environments, helping them find products, providing product information, and ensuring a positive shopping experience.","Assist customers in retail stores, answer questions, and provide product information. Process sales transactions and handle customer inquiries and returns. Maintain store displays and merchandising.","Sales Associate A Retail Sales Associate assists customers in retail environments, helping them find products, providing product information, and ensuring a positive shopping experience. Customer service Sales techniques Product knowledge Cash handling Communication skills Assist customers in retail stores, answer questions, and provide product information. Process sales transactions and handle customer inquiries and returns. Maintain store displays and merchandising."
